,r2,rmse,kendall,spearman,mape,month,source
SABANA GRANDE,-36.03858930061495,23.214861808892937,0.03880113543483874,0.05345551475724093,430.25353681974633,1,chirps
LA LABOR,-0.019927473901172554,26.699412786805116,0.287955041761732,0.3959507577290361,152.76629527127892,1,chirps
LA MESA,0.16236578162531556,1523.504210496139,0.21025641025641026,0.3046904315196999,36.60123769629123,1,chirps
POTRERILLOS,-58.56875533333604,2441.2433370876397,0.11445835053441239,0.20263220868523493,1008.8707459729227,1,chirps
ESQUIAS,-1.364966571180557,215.1949446975054,0.49536467292214387,0.6612837067537998,129.9916978767872,1,agera5
LA ERMITA,-0.6059871217030484,167.21960230648995,0.3741548764493374,0.5566949212553242,194.5074702875727,1,agera5
SULACO,-9.500692261171814,476.7986330876718,0.3406216294417629,0.5266436788623635,792.3894496014176,1,agera5
PLAYITAS,-195.3979639197563,4326.571110878399,0.2396399829353816,0.32645561178733223,1414.823742397847,1,agera5
FLORES,-8.14914521315157,495.8890842482074,0.1961857032626804,0.3272128207617459,920.3385451306849,1,agera5
PITO SOLO,-0.7826998635533835,5486.377866230764,0.08741729522155481,0.20610373807351456,40.2307263125511,1,agera5
SANTA ELENA,0.07983573119740839,1406.5667819487169,0.292627504905321,0.4610592014457493,33.11816540784199,1,agera5
SANTA ROSA DE COPAN,-9.154254156932554,4227.974901986752,0.2065426980385198,0.302265585022239,201.219121479921,1,agera5
EL NISPERO,-26.086740561856146,4531.19155055604,0.12428086479631889,0.1946823907919595,293.33910397243363,1,agera5
LA UNION,-1.6396370719099496,1927.8934924303849,0.5024630541871921,0.6822660098522165,315.62475021472716,1,agera5
SAN JOSE DE LA MONTAÃ‘A,-0.004400484505314051,1635.5109421820152,0.0299539965651116,0.07765910294621935,545.3520691514037,1,agera5
SANTA RITA,-1.794719754622867,1968.0820010054306,0.10153846153846155,0.1623931623931624,547.0225749344731,1,agera5
LA ENTRADA,-47.16942660540417,9231.920462807477,0.11538473245427289,0.1499233977022646,352.89834715320393,1,agera5
QUIMISTA,-74.41903398697025,19712.419155068572,0.29202308831019685,0.39374042695821015,495.4041791403994,1,agera5
LA CEIBA,-0.7789930585198579,93598.87785473757,0.5692307692307693,0.7555347091932458,58.33966475981469,1,agera5
ROATAN,,,,,,1,agera5
TELA,-0.20111549693194153,42419.47323577308,0.5102564102564103,0.6902439024390244,45.742312541499075,1,agera5
